,File Name,Plant,Site,Controller,Controller Count,Date,Day,Month,Year,Back Up Saved,Network/Communication Device,ODA Frost,Immersion Frost,Room Frost/3rd Stage Frost,BST/GMT Start +1HR,Heat Disapation,Panel Lights,Panel Condition,Boiler Lead/Lag,Input Analogue,Input Digital,Output Analogue,Output Digital,Maintenance Analogue,Maintenance Digital,Scheduling,Scheduling Count,Fault Count,Falut,Comments,Recommendation
11,aall\Ballyoran PS - Fail.pdf,Boilerhouse,50-0020A Ballyoran PS Portadown ,Trend 241,1,,,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,15,10,0,22,0,0,"Classroom Heating,Assembly Hall Heating,DHW,SMK Heating,Community Heating,Nursery Heating,Nursery DHW",7,2,"1 green lamp,1 Blue lamp","blown,blown","replace,replace"
12,aall\Ballytrea PS - Pass.pdf,Boilerhouse,50-0022A Ballytrea Ps ,"Trend IQ222ADL,IQ228,NDP (in office)",3,5-3-2020,5,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,8,2,0,6,0,0,"Rads Heating,U/F Heating,SMK Heating,DHW",4,0,,,
13,aall\Bessbrook PS - Fail.pdf,Boilerhouse,50-0026A Bessbrook PS  ,"Odyssey,Keypad",2,11-3-2020,11,3,2020,Un-Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,3,0,5,0,0,"Zone 1,Zone 2,Zone 3",3,4,"Nursery pump,Assembly valve,Assembly pumps,Boiler","faulty,actuator slipping,overloads to small,boiler locked out on arrival, staff informed happening","mech rep to further,replace,upgrade,appropriate rep to further"
14,aall\Blessed Patrick O'Loughran PS - Fail.pdf,Boilerhouse,50-0196A Blessed Patrick O'Loughran Ps ,"Trend Iq251,NDP",2,6-3-2020,6,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,14,5,0,19,0,0,"Zone 1 Valve (U/F),SMK AHU,DHW,U/F Pump",4,5,"DHW,U/F,Principals office,3rd stage,boiler","Prim pump 2 in fault mode,suspect balancing issue throughout building,no return,not installed,very noisy/raspy, cobers hanging off","Mech rep to further,Mech rep to further,Mech rep to further,set up on controller,Comp boiler rep to further"
15,aall\Churchill PS - Fail.pdf,Boilerhouse,50-0042A Churchill PS Caledon ,"EasyIO FS32+,Touchscreen",2,3-2-2020,3,2,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,10,3,0,10,0,0,"Heating Circuit,Radiator Circuit,Underfloor Circuit,DHW",4,2,"Lamps,hall sensor","Faulty/very poor illumination on all,damaged","replace,replace"
16,aall\Clare PS - Fail.pdf, Boilerhouse,50-0046A Clare PS ,"Odyssey,Touchscreen",2,28-11-2019,28,11,2019,N/A,Satisfactory,Satisfactory,N/A,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,13,12,3,12,0,0,"Zone 1,Zone 2,DHW,Hall,SMK,Bennet Zone,DHW",7,0,,,
17,aall\Clea PS - Pass.pdf,Boilerhouse,Clea Ps 50-0198A ,"Priva Compri HX , Touchscreen",2,11-10-2019,11,10,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,5,2,0,7,0,0,"Heating,DHW",2,1,Back up,no back up,ea to source
18,aall\Donaghy PS - Pass.pdf,Boilerhouse,50-0066A Donaghy PS ,"Trend IQ220,DP",2,6-2-2020,6,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,7,0,1,9,0,0,"VT Heat,CT Heat,DHW",3,0,,,
19,aall\Drumnamoe NS - Fail.pdf,Boilerhouse,50-1020A Drumnamoe NS  ,"Delta eBX, iSMA, touchscreen",3,11-11-2019,11,11,2019,N/A,Satisfactory,Satisfactory,Satisfactory,N/A,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,6,1,1,17,0,0,"School UFH,Kitchen CT,DHW",3,1,Panel Light,1 green and 1 amber faulty,replace
20,aall\Dungannon PS - Fail.pdf,Boilerhouse,Dungannnon PS 50-0080A ,"Trend IQ100+ x2, Trend Modem, Keypad x2",3,25-10-2019,25,10,2019,N/A,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,9,5,0,10,0,0,"Sch Heating,DHW System,2nd Storey,Hall Heating,SMK Heating",5,5,"Boiler Return,DHW Sensor,Class Sensor,Mod Valve,DHW Valve","Input corrupt,Damaged sensor or cable due to on going works,Cable was cut and burried in wall during a refurb,Damaged due to ongoing works,Removed and incorrectly left valve position with ongoingworks","Replace cable & Sensor,Replace Cable & sensor,Covered in on going callout?,Covered in on going callout?"
21,aall\Dungannon Teacher's Centre - Fail.pdf,Boilerhouse,50-A016A Dungannon Teacher's Centre ,"Delta eBMGR, OiSMA-b-Mix38, OiSMA 8U, HMI Touchpad",4,13-3-2020,13,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,10,1,8,0,0,"HTG,DHW",2,2,"1,2","ODA Sensor reading too high. Not on Northwalll,VT Pump 1 not running.","located on East Wall attracting direct sunlight. Moveto east wall or cover.,In hand by others"
22,aall\Fivemiletown PS - Fail.pdf,Back Boilerhouse,50-0090A Fivemiletown PS ,"Odyssey,Keypad",2,8-1-2020,8,1,2020,Un-Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,13,3,1,13,0,0,"Heating,DHW,Sch Heating,Convectors Heating,Assembly Hall Heating,DHW",6,3,"No Back up,hall convector pump,3rd stage","Faulty,not available","others to further,install"
23,aall\Grove NS - Fail.pdf,Main Boilerhouse,50-1008A Grove NS Armagh  ,AM Odessey,1,10-10-2019,10,10,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,6,1,1,6,0,0,"School VT Htg,School CT Htg,School DHW Htg",3,3,"1,2,3","VT Pump 2 faulty,DHW Primary Pump 2 faulty,Faulty Panel lamps","Replace- By Others,Replace- By Others,Replace"
24,aall\Hart Memorial - Pass.pdf,New Boilerhouse,50-0098A Hart Memorial PS ,"Regin EXOcompact c283t-3,IO-4X4M,IO-16AI,IO-16DI,Keypad,PC",6,29-11-2019,29,11,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,4,4,7,0,3,"Zone 1,Zone 2,DHW",3,1,keypad,locked down,source password
25,aall\Holy Trinity PS - Pass.pdf,Boilerhouse,Holy Trinity PS 50-0224A ,"Trend 241x2,Touchscreen (store)",2,16-10-2019,16,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,16,9,0,15,0,0,"2 Storey Heating,Exist School,Minor Hall,DHW,Dining Hall",5,0,,,
26,aall\Kingspark PS - Fail.pdf,Boilerhouse A,50-0110A Kingspark PS Lurgan ,Allen Martin Odyssey keypad and controller,1,18-11-2019,18,11,2019,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,27,6,6,25,1,0,"VT Heating,CT Heating,DHW Heating,DHW Schedule,East Wing Schedule,West Wing Schedule,Assembly Hall Schedule",7,1,1,Plant going on and off due to high system pressure 2.8Bar,LM  to check pressure unit
27,aall\Lisnadill PS - Pass.pdf,Boilerhouse,Lisnadill PS 50-0116A ,"Priva Compri HX,RO8,RO4,DI12,UI8,Touchscreen",6,14-10-2019,14,10,2019,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,4,0,10,0,0,"Class Heating,DHW,Hall Heating,SMK Vent",4,1,Back up,no back up,ea to source
28,aall\Markethill HS - Fail.pdf,Sports Hall BoilerHouse,MarketHill High School ,"DSC1212E, DAC633E",2,17-10-2019,17,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,30,17,31,7,0,0,"DHW Schedule,Heating Schedule,Kitchen Schedule,CDT Block Schedule,School Heating Schedule,School DHW Schedule",6,1,Kitchen VT Pump,faulty,Others to further
29,aall\Markethill PS - Fail.pdf,BoilerHouse,MarketHill Primary School 50-0122A ,"FG32+, LCD Screen",2,17-10-2019,17,10,2019,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,5,5,1,6,0,0,"School,Hall,DHW",3,2,"Heat Dissapation,1st Stage Frost","Boilers are Hardwired Into Pumps, Unable to Run,Boilers are Hardwired Into Pumps, Unable to Run","Separate Outputs and Commision,Separate Outputs and Commision"
30,aall\Mullavilly PS - Fail.pdf,Boilerhouse,50-0140A Mullavilly PS ,"Trend IQ220 x2,Keypad (IQVIEW)",2,29-11-2019,29,11,2019,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,8,8,0,8,0,0,"Assembly Hall,Sch Heating,DHW",3,1,Lamps,Faulty and or Poor Illumination,replace
31,aall\Newmills PS - Fail.pdf,Boilerhouse,50-0142A Newmills Ps ,"Odyssey,Keypad",2,5-2-2020,5,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,10,0,0,"Zone 1,Zone 2,DHW",3,1,sensor,faulty,replace
32,aall\Orchard County PS - Fail.pdf,Boilerhouse,50-0180A Orchard County Ps ,"Priva Compri HX,A04,R04,Keypad",4,4-12-2019,4,12,2019,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,9,2,4,8,0,0,"Class Times,Office Times,SMK Times,Hall Times,DHW Times",5,4,"Hall M/V,Frost settings,Back up,Office M/V","Valve and Actuator faulty,Incorrect and not to EASR Spec,source,Valve and Actuator faulty","Replace,Install,EA to source,Replace"
33,aall\Our Lady & St Mochuas PS - Fail.pdf,Boilerhouse,Our Lady & St Mochua's PS Derrynoose 50- 0448A,"Trend 251x2,Touchscreen x2 (boilerhouse,Office)",3,21-10-2019,21,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,19,10,1,10,0,0,"Main Sch Heating,Admin Heat,U/F Manifold Pumps,DHW & MPH,SMK DHW & Heating",5,0,,,
34,aall\Portadown College - Fail.pdf,Main Boilerhouse,Portadown College  ,"Delta 1616e,Touchscreen",2,,,,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,,Satisfactory,57,3,8,49,0,0,"Geography,IT/HE,Classroom 1-6,Science Rooms 10/11,Lecture Theatre/Room 14,Geography/Class 17,Music,Assembly Hall,Maths,,DHW,Chemistry,Physics,DHW,Remote Plantroom DHW,Remote Plantroom Heating,Gym,,,,Biology,,General,Changing,Fitness,DHW",26,2,"no back up,not regestering all changes","Valve and Actuator faulty,Incorrect and not to EASR Spec,source,Valve and Actuator faulty","EA to source,To be rectified via a back up"
35,aall\Poyntzpass PS - Pass.pdf,Boilerhouse,50-0146A Poyntzpass PS ,"Allen Martin Odyssey 12,Keypad",2,5-3-2020,5,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,5,1,0,7,0,0,"School HTG,DHW",2,0,,,
36,aall\Primate Dixon PS - Fail.pdf,Boilerhouse,50-0246A Primate Dixon Ps ,"Trend 151, Trend Modem,FPK Screen",3,5-2-2020,5,2,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,11,9,0,12,0,0,"Sch Heat,DHW,Nursery,Assembly Hall,Dining Room",5,1,boilers,not making temperature high fire turned back to 30 deg by boiler rep,"EA to source,To be rectified via a back up"
37,aall\Queen Elizabeth II PS - Fail.pdf,Boilerhouse,50-0148A Queen Elizabeth PS ,"Odyssey,Keypad",2,24-1-2020,24,1,2020,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,2,0,6,0,0,"Zone 1,Zone 2,DHW",3,5,"Frost,no back up,comms,plant setting switch,dhw","no way to test,not available,intermitten to keypad,intermitten not always working,resistor used","EA to source,To be rectified via a back up"
38,aall\Richmond PS - Fail.pdf,Boilerhouse,50-0178A Richmond Ps Ballygawley ,"Trend IQ241,IQ220,NDP",3,4-2-2020,4,2,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,13,4,4,17,0,0,"Sch Heating,DHW,SMK Gas Water Heater,Assembly Hall U/F Heating,Resource No.1 Heating,Resource No.2 Heating",6,4,"boiler no.2,resource no.1,resource no.2,lamps","going off on hi-limit,valve very stiff,actuator verey noisy and on way out,very poor illumination on the ones that work","app rep to further,replace,replace,replace"
39,aall\Richmount PS - Pass.pdf,Boilerhouse,50-0150A Richmount PS ,"Priva Compri HX,Touchscreen, RVP320",3,4-12-2019,4,12,2019,Un-Satisfactory,Satisfactory,N/A,N/A,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,5,0,0,1,0,0,hall,1,1,"boiler no.2,resource no.1,resource no.2,lamps",no back up.,"app rep to further,replace,replace,replace"
40,aall\St Anthonys PS - Fail.pdf,Boilerhouse,50-0256A St Anthonys PS ,"DeltaeBCON,5x440,eBX,2xD800,Touchscreen",5,22-11-2019,22,11,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,23,4,13,7,0,0,"Nursery Heating,Hall Heating,Admin Heating,Southside Heating,Northside Heating,Block F Heating,Block E Heating,DHW",8,3,"DHW Return,Boilers,shunt pump","Sensor Not installed,1 boiler out of operation,locked of by a another","Fit sensor,Others to further,investigate as to why- By Others"
41,aall\St Brendans PS - Fail.pdf,Boilerhouse/plantroom,50-0258A St Brendans PS ,"Delta eBMGR,touchscreen, 2x isma-b-max",3,22-11-2019,22,11,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,8,1,1,9,0,0,"DHW,SMK/Dining,Assembly Heat,Block A & B Heat,Block C Heat",5,1,lamps,boilerhouse,9  green 4 red 1 blue 5 yellow 1 white
42,aall\St Colman's PS Bann - Pass.pdf,Boilerhouse,50-278A St Colman's Bann PS ,"Delta eBUS + 3x eBM Mods (404,440,800), Touch Screen",4,12-11-2019,12,11,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,6,7,5,4,0,0,"School HTG,DHW",2,0,,,
43,aall\St Francis Of Assisi PS - Fail.pdf,Boilerhouse,St Fancis Of Assisi PS Keady 50-0440A ,Siemens pxc36 + Touchscreen PXM10 ( Principal office),1,21-10-2019,21,10,2019,Un-Satisfactory,Satisfactory,Un-Satisfactory,Un-Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,8,8,3,7,0,0,"Sch VT Heating,Sch VT 2 Heating,Hall Heating,DHW",4,3,"Frost,Back up,heat diss","Appears to be some software for frost but unable to accesssetpoints of to test properly,No back up on site, if plugged into this controller with out aback up all software could be lost.,no access to this point also, again appears to be somesoftware onboard but cannont access to test correctly","EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec,EA & or CHC to loacte backup set to easr spec"
44,aall\St Johns PS Middletown - Pass.pdf,Boilerhouse,St Johns PS Middletown 50-0442A ,"Delta eBCON,404 x2, 440x2, eBX, D800,Touchscreen",6,24-10-2019,24,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,13,5,5,8,0,0,"Entrance Area Heating,Class Heat,Hall Heating,DHW School,SMK DHW,SMK Heating",6,0,,,
45,aall\St Joseph's PS Bessbrook - Fail.pdf,Boilerhouse,50-0308A St Josephs PS Bessbrook ,"Priva Compri HX, AO4,RO4",3,12-3-2020,12,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,18,2,2,18,0,5,"Main Block,Nursery,P7,Sch DHW,SMK DHW,SMK,Assembly Hall,Middle Block,SMK DHW,Senior Heating",10,3,"SMK Pump2,lamps,Assembly Pump1","Faulty,Faulty,Faulty","mech rep to further,replace,mech rep to further"
46,aall\St Laurence O'Toole PS - Fail.pdf,Boilerhouse,50-0324A St Laurence O'Toole PS ,"Siemens PXC22,Keypad",2,12-3-2020,12,3,2020,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,5,1,0,5,0,0,"1Vt,DHW",2,2,"back up,frost","none available,not board spec","mech rep to further,replace,mech rep to further"
47,aall\St Malachy's PS Carnagat - Fail.pdf,Boiler House,St Malachys PS Carnagat 50-0332A ,"DSC1616e x 2, dfm1600, dfm400p x 2, etouch",4,16-10-2019,16,10,2019,N/A,Satisfactory,N/A,N/A,N/A,Satisfactory,N/A,N/A,Satisfactory,N/A,22,22,4,18,8,0,"Main Sch Htg,SMK dinning Htg,Assembly Hall Htg,Nursery Htg,SMK DHW,School DHW",6,2,"DHW Sch,DHW SMK","ongoing issue with Valves,ongoing issue with Valves","in hand with EASR MO,in hand with EASR MO"
48,aall\St Malachy's PS Carrickcroppen - Fail.pdf,Boilerhouse,St Malachys PS Carrickcroppen 50-0334A ,"Delta 1616E, DFM 400p x2,DNT_T305",3,18-10-2019,18,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,12,2,3,7,0,0,"Class Heating,Nursery,Hall,DHW,School DHW",5,1,assembly nursery valves,Both Actuators faulty,replace
49,aall\St Mary's Ps Cabra - Pass.pdf,Boilerhouse,50-0348A St Marys Ps Cabra ,"Delta 1616E, DFM1600, DFM400P,Touchscreen (Principals Office)",4,10-3-2020,10,3,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,20,8,1,15,0,0,"Sch Heating,SMK,Assembly Hall",3,0,,,
50,aall\St Mary's PS Fivemiletown - Pass.pdf,Boilerhouse,50-0356A St Marys Ps Fivemiletown ,"Delta eBMGR, isma-B-Mix38,isma-B-8U, touchscreen",4,8-1-2020,8,1,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,12,6,2,5,0,0,"Sch Heating,DHW",2,0,,,
51,aall\St Mary's PS Stewartstown - Fail.pdf,Boilerhouse,50-0372A St Marys PS ,"Delta_1616E X2,DFM400P X3,Touchscreen",3,5-3-2020,5,3,2020,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,27,11,6,19,0,2,"DHW,Class Vt,Staff/Admin,SMK/Dining,Front Class,Main Hall",6,1,p6/p7 actuator,faulty 230v,replace
52,aall\St Marys PS Pomeroy - Fail.pdf,Boilerhouse,50-0368A St Marys PS Pomeroy ,"Odyssey,Keypad",2,3-2-2020,3,2,2020,Un-Satisfactory,Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,Un-Satisfactory,Satisfactory,N/A,6,2,0,8,0,0,"Zone 1 Heating,Zone 2 Heating,Zone 3 Heating,DHW",4,3,"2nd Stage Frost,no back up,lamps","Not Installed,most blown or poorly lit",replace
53,aall\St Michaels PS Finnis - Fail.pdf,Boilerhouse,St Michaels PS Finnis  50-0378A ,"Odyssey 12,Touchscreen",2,13-11-2019,13,11,2019,Un-Satisfactory,N/A,Satisfactory,Un-Satisfactory,Satisfactory,N/A,Satisfactory,Satisfactory,Satisfactory,N/A,7,0,2,8,0,0,"Zone 1, Zone 2,DHW",3,3,"Boiler flow,Zone 1,zone 2","sensor faulty,Sensor lid missing,Sensor above radiator","replace,replace,relocate"
54,aall\St Patrick's PS Crossmaglen - Fail.pdf,Boilerhouse,St Patricks PS Crossmaglen (50-0398A) ,"Delta 1616e x2,Touchscreen (principals office)",2,4-10-2019,4,10,2019,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,19,5,5,15,0,0,"Main Sch Heating,2 Storey Heating,Dining Heating,SMK DHW,SCH DHW",5,2,"Actuator,Actuator/valve","Sch Dhw actuator faulty,Valve lay on its back and has grown stiff got freed to a","replace 24v 0-10 actuator,replace 3 port and 24v 0-10 actuator"
55,aall\St Patrick's PS Cullyhanna - Pass.pdf,Boilerhouse,50-0400A Cullyhanna PS ,"Trend IQ231,NDP",2,11-3-2020,11,3,2020,N/A,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,N/A,7,3,0,8,0,0,Zone 1,1,1,boiler,locked out on arrival and on staff from service number of,"replace 24v 0-10 actuator,replace 3 port and 24v 0-10 actuator"
